id,compute_transform,source_field,name,ttype,required,field_description
conn_rets_area,,,area,float,1,'Area'
conn_rets_bathrooms,,,bathrooms,integer,0,'Bathrooms'
conn_rets_bedrooms,,,bedrooms,integer,0,'Bedrooms'
conn_rets_city_id,,,city_id,many2one,1,'City'
conn_rets_company_id,,,company_id,many2one,1,'Company'
conn_rets_garages,,,garages,integer,0,'Garage Spaces'
conn_rets_offer_type_id,,,offer_type_id,many2one,1,'Offer Type'
conn_rets_street,,,street,char,1,'Street'
conn_rets_toilets,,,toilets,integer,0,'Toilets'
conn_rets_user_id,,,user_id,many2one,1,'Salesperson'
conn_rets_air_conditioned,,,air_conditioned,boolean,0,'Air Conditioned'
conn_rets_airConditioning,,,airConditioning,boolean,0,'Air Conditioned'
conn_rets_alarm,,,alarm,boolean,0,'Alarm System'
conn_rets_alarmSystem,,,alarmSystem,boolean,0,'Alarm System'
conn_rets_attachment_ids,,,attachment_ids,one2many,0,'Attachments'
conn_rets_backyard,,,backyard,boolean,0,'Backyard'
conn_rets_balconies,,,balconies,integer,0,'Balconies'
conn_rets_builtInRobes,,,builtInRobes,boolean,0,'Built-in Wardrobes'
conn_rets_country_id,,,country_id,many2one,0,'Country'
conn_rets_create_date,,,create_date,datetime,0,'Created on'
conn_rets_create_uid,,,create_uid,many2one,0,'Created by'
conn_rets_currency_id,,,currency_id,many2one,0,'Currency'
conn_rets_current_listing_contract_id,,,current_listing_contract_id,many2one,0,'Current Contract'
conn_rets_current_tenant_contract_id,,,current_tenant_contract_id,many2one,0,'Current Contract'
conn_rets_dishwasher,,,dishwasher,boolean,0,'Dishwasher'
conn_rets_dog_friendly,,,dog_friendly,boolean,0,'Dog Friendly'
conn_rets_ducted_cooling,,,ducted_cooling,boolean,0,'Ducted Cooling'
conn_rets_entertaining,,,entertaining,boolean,0,'Outdoor Entertaining Area'
conn_rets_fencing,,,fencing,char,0,'State of the fencing'
conn_rets_image_ids,,,image_ids,one2many,0,'Photos'
conn_rets_irrigation,,,irrigation,char,0,'Developed irrigation'
conn_rets_is_featured,,,is_featured,boolean,0,'Is Featured'
conn_rets_is_new,,,is_new,boolean,0,'Is New'
conn_rets_is_rent,,,is_rent,boolean,0,'Is Rentable'
conn_rets_land_area,,,land_area,float,0,'Land Area'
conn_rets_latitude,,,latitude,float,0,'Geo Latitude'
conn_rets_listing_contract_count,,,listing_contract_count,integer,0,'Listing contract count'
conn_rets_listing_contract_ids,,,listing_contract_ids,one2many,0,'Listing Contracts'
conn_rets_living_area,,,living_area,float,0,'Living Area'
conn_rets_longitude,,,longitude,float,0,'Geo Longitude'
conn_rets_main_img_id,,,main_img_id,integer,0,'Main Image ID'
conn_rets_name,,,name,char,0,'Name'
conn_rets_partner_id,,,partner_id,many2one,0,'Owner'
conn_rets_points_interest,,,points_interest,many2many,0,'Points of Interest'
conn_rets_price,,,price,float,0,'Sale Price'
conn_rets_reference,,,reference,char,0,'Reference'
conn_rets_rent_current_price,,,rent_current_price,float,0,'Current Rent Rate'
conn_rets_rent_current_uom_id,,,rent_current_uom_id,many2one,0,'Rent Unit'
conn_rets_rent_min,,,rent_min,float,0,'Minimal Period'
conn_rets_rent_min_uom_id,,,rent_min_uom_id,many2one,0,'Period Unit'
conn_rets_rent_price,,,rent_price,float,0,'Rent Rate'
conn_rets_rent_uom_id,,,rent_uom_id,many2one,0,'Rent Unit'
conn_rets_secure_parking,,,secure_parking,boolean,0,'Secure Parking'
conn_rets_stage_id,,,stage_id,many2one,0,'Stage'
conn_rets_state_id,,,state_id,many2one,0,'State'
conn_rets_street2,,,street2,char,0,'Street2'
conn_rets_swpool,,,swpool,boolean,0,'Swimming Pool'
conn_rets_sw_pool,,,sw_pool,boolean,0,'Swimming Pool'
conn_rets_table_id,,,table_id,many2one,0,'Discount Table'
conn_rets_tenant_contract_count,,,tenant_contract_count,integer,0,'Tenant contract count'
conn_rets_tenant_contract_ids,,,tenant_contract_ids,one2many,0,'Rent Contracts'
conn_rets_type_id,,,type_id,many2one,0,'Type'
conn_rets_visible_fields,,,visible_fields,many2many,0,'Visible Fields'
conn_rets_wardrobes,,,wardrobes,boolean,0,'Built-in Wardrobes'
conn_rets_website_description,,,website_description,html,0,'Description'
conn_rets_website_meta_description,,,website_meta_description,text,0,'Website meta description'
conn_rets_website_meta_keywords,,,website_meta_keywords,char,0,'Website meta keywords'
conn_rets_website_meta_title,,,website_meta_title,char,0,'Website meta title'
conn_rets_website_name,,,website_name,char,0,'Reference'
conn_rets_website_published,,,website_published,boolean,0,'Visible in Website'
conn_rets_website_url,,,website_url,char,0,'Website URL'
